Price,Close,High,Low,Open,Volume,Returns,Mean,Std
Ticker,SPY,SPY,SPY,SPY,SPY,,,
Datetime,,,,,,,,
2025-03-03 14:30:00+00:00,596.8699951171875,597.3400268554688,595.6199951171875,596.1799926757812,2907593,0.0,,
2025-03-03 14:35:00+00:00,595.2899780273438,597.0347900390625,595.1099853515625,596.8800048828125,924152,-1.58001708984375,,
2025-03-03 14:40:00+00:00,594.8599853515625,595.739990234375,594.6500244140625,595.35498046875,694323,-0.42999267578125,,
2025-03-03 14:45:00+00:00,594.27001953125,595.6500244140625,594.0800170898438,594.8400268554688,807885,-0.5899658203125,,
2025-03-03 14:50:00+00:00,593.9600219726562,594.6300048828125,593.72998046875,594.260009765625,917434,-0.30999755859375,,
2025-03-03 14:55:00+00:00,592.77001953125,594.1199951171875,592.510009765625,593.989990234375,1102266,-1.19000244140625,,
2025-03-03 15:00:00+00:00,592.8300170898438,593.0499877929688,590.7100219726562,593.0499877929688,1961791,0.05999755859375,,
2025-03-03 15:05:00+00:00,591.9099731445312,593.4400024414062,591.77001953125,592.8250122070312,855512,-0.9200439453125,,
2025-03-03 15:10:00+00:00,591.9400024414062,593.186279296875,591.6300048828125,591.9000244140625,664202,0.030029296875,,
2025-03-03 15:15:00+00:00,592.1400146484375,592.4000244140625,591.4600219726562,591.8800048828125,556787,0.20001220703125,-0.472998046875,0.5958492872407536
2025-03-03 15:20:00+00:00,593.1699829101562,593.8499755859375,591.989990234375,592.1099853515625,584420,1.02996826171875,-0.370001220703125,0.7545730557631315
2025-03-03 15:25:00+00:00,594.114990234375,594.114990234375,593.0399780273438,593.1500244140625,443837,0.94500732421875,-0.117498779296875,0.7266329280269851
2025-03-03 15:30:00+00:00,594.010009765625,594.6300048828125,593.4650268554688,594.0900268554688,693327,-0.10498046875,-0.08499755859375,0.718323641707603
2025-03-03 15:35:00+00:00,593.6898803710938,594.0900268554688,592.6710205078125,594.0,391437,-0.32012939453125,-0.058013916015625,0.7021326681685115
2025-03-03 15:40:00+00:00,595.1099243164062,595.125,593.1799926757812,593.6599731445312,497093,1.4200439453125,0.114990234375,0.833917627038387
